hum,windspeed,temp_c,feels_like_c,casual,registered,year,month,day,dayofweek,season_1,season_2,season_3,season_4,hr_0,hr_1,hr_2,hr_3,hr_4,hr_5,hr_6,hr_7,hr_8,hr_9,hr_10,hr_11,hr_12,hr_13,hr_14,hr_15,hr_16,hr_17,hr_18,hr_19,hr_20,hr_21,hr_22,hr_23,holiday_0,holiday_1,workingday_0,workingday_1,weathersit_1,weathersit_2,weathersit_3,weathersit_4,total_count
0.76,0.2982456140350877,0.36734693877551017,0.39390000000000003,12,24,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,36
0.81,0.3333333333333333,0.3469387755102041,0.33330000000000004,26,30,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,56
0.77,0.3333333333333333,0.40816326530612246,0.4242,29,55,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,84
0.72,0.3508771929824561,0.44897959183673464,0.4545,47,47,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,94
0.72,0.3333333333333333,0.44897959183673464,0.4545,35,71,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,106
0.77,0.3508771929824561,0.4285714285714286,0.4394,40,70,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,110
0.82,0.3508771929824561,0.40816326530612246,0.4242,41,52,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,93
0.82,0.3333333333333333,0.4285714285714286,0.4394,15,52,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,67
0.88,0.2982456140350877,0.40816326530612246,0.4242,9,26,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,35
0.88,0.2982456140350877,0.40816326530612246,0.4242,6,31,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,37
0.87,0.2982456140350877,0.3877551020408163,0.4091,11,25,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,36
0.87,0.22807017543859648,0.3877551020408163,0.4091,3,31,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,34
0.94,0.2631578947368421,0.3877551020408163,0.4091,11,17,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,28
0.88,0.3508771929824561,0.44897959183673464,0.4545,15,24,2011,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,39
0.88,0.3508771929824561,0.44897959183673464,0.4545,4,13,2011,1,2,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,17
0.94,0.2982456140350877,0.4285714285714286,0.4394,1,16,2011,1,2,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,17
1.0,0.3333333333333333,0.40816326530612246,0.4242,1,8,2011,1,2,6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,9
0.94,0.22807017543859648,0.44897959183673464,0.4545,2,4,2011,1,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,6
0.94,0.22807017543859648,0.44897959183673464,0.4545,2,1,2011,1,2,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3
0.77,0.3508771929824561,0.40816326530612246,0.4242,0,2,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2
0.76,0.22807017543859648,0.3877551020408163,0.4091,0,1,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
0.71,0.2631578947368421,0.3877551020408163,0.4091,0,8,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,8
0.76,0.2631578947368421,0.36734693877551017,0.39390000000000003,1,19,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,20
0.81,0.2631578947368421,0.3469387755102041,0.34850000000000003,7,46,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,53
0.71,0.2982456140350877,0.3469387755102041,0.33330000000000004,16,54,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,70
0.66,0.3508771929824561,0.3469387755102041,0.33330000000000004,20,73,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,93
0.66,0.15789473684210525,0.3469387755102041,0.34850000000000003,11,64,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,75
0.76,0.22807017543859648,0.3469387755102041,0.34850000000000003,4,55,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,59
0.81,0.19298245614035087,0.326530612244898,0.33330000000000004,19,55,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,74
0.71,0.19298245614035087,0.326530612244898,0.33330000000000004,9,67,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,76
0.57,0.22807017543859648,0.326530612244898,0.33330000000000004,7,58,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,65
0.46,0.38596491228070173,0.3469387755102041,0.33330000000000004,10,43,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,53
0.42,0.5263157894736842,0.30612244897959184,0.2879,1,29,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,30
0.39,0.42105263157894735,0.2857142857142857,0.2727,5,17,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,22
0.44,0.38596491228070173,0.24489795918367346,0.2273,11,20,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,31
0.44,0.3508771929824561,0.22448979591836735,0.2121,0,9,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,9
0.47,0.19298245614035087,0.20408163265306123,0.2273,0,8,2011,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,8
0.44,0.42105263157894735,0.20408163265306123,0.197,0,5,2011,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5
0.44,0.49122807017543857,0.1836734693877551,0.16670000000000001,0,2,2011,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
0.47,0.45614035087719296,0.14285714285714285,0.1364,0,1,2011,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
0.47,0.3333333333333333,0.14285714285714285,0.1364,0,3,2011,1,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
0.5,0.45614035087719296,0.12244897959183675,0.1061,0,30,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,30
0.5,0.22807017543859648,0.12244897959183675,0.1364,1,63,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,64
0.5,0.3333333333333333,0.12244897959183675,0.1212,1,153,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,154
0.43,0.45614035087719296,0.14285714285714285,0.1364,7,81,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,88
0.43,0.2982456140350877,0.163265306122449,0.16670000000000001,11,33,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,44
0.4,0.38596491228070173,0.1836734693877551,0.18180000000000002,10,41,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,51
0.35,0.3508771929824561,0.20408163265306123,0.2121,13,48,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,61
0.35,0.3333333333333333,0.22448979591836735,0.2121,8,53,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,61
0.3,0.3333333333333333,0.24489795918367346,0.2424,11,66,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,77
0.3,0.2982456140350877,0.24489795918367346,0.2424,14,58,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,72
0.3,0.2982456140350877,0.24489795918367346,0.2424,9,67,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,76
0.3,0.2631578947368421,0.22448979591836735,0.2273,11,146,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,157
0.32,0.12280701754385964,0.22448979591836735,0.2576,9,148,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,157
0.47,0.0,0.1836734693877551,0.2576,8,102,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,110
0.47,0.12280701754385964,0.1836734693877551,0.2273,3,49,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,52
0.64,0.15789473684210525,0.163265306122449,0.197,3,49,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,52
0.69,0.15789473684210525,0.12244897959183675,0.1515,0,20,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,20
0.55,0.12280701754385964,0.163265306122449,0.2121,1,11,2011,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,12
0.55,0.12280701754385964,0.14285714285714285,0.18180000000000002,0,5,2011,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5
0.59,0.12280701754385964,0.14285714285714285,0.18180000000000002,0,2,2011,1,4,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
0.63,0.15789473684210525,0.12244897959183675,0.1515,0,1,2011,1,4,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1
0.63,0.10526315789473684,0.12244897959183675,0.18180000000000002,0,2,2011,1,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
0.68,0.12280701754385964,0.10204081632653061,0.1515,0,4,2011,1,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4
0.74,0.12280701754385964,0.10204081632653061,0.1515,0,36,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,36
0.74,0.15789473684210525,0.10204081632653061,0.1515,2,92,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,94
0.69,0.19298245614035087,0.12244897959183675,0.1515,2,177,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,179
0.64,0.2631578947368421,0.14285714285714285,0.1515,2,98,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,100
0.69,0.38596491228070173,0.14285714285714285,0.1364,5,37,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,42
0.51,0.3508771929824561,0.20408163265306123,0.2121,7,50,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,57
0.51,0.19298245614035087,0.20408163265306123,0.2273,12,66,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,78
0.56,0.22807017543859648,0.22448979591836735,0.2273,18,79,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,97
0.52,0.2631578947368421,0.24489795918367346,0.2576,9,54,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,63
0.52,0.2982456140350877,0.2653061224489796,0.2727,17,48,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,65
0.49,0.2982456140350877,0.2857142857142857,0.2879,15,68,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,83
0.48,0.2631578947368421,0.2653061224489796,0.2727,10,202,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,212
0.48,0.22807017543859648,0.24489795918367346,0.2576,3,179,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,182
0.48,0.12280701754385964,0.22448979591836735,0.2576,2,110,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,112
0.48,0.12280701754385964,0.22448979591836735,0.2576,1,53,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,54
0.64,0.0,0.20408163265306123,0.2727,0,48,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,48
0.64,0.10526315789473684,0.20408163265306123,0.2576,1,34,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,35
0.69,0.10526315789473684,0.1836734693877551,0.2273,2,9,2011,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,11
0.64,0.0,0.1836734693877551,0.2576,0,6,2011,1,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6
0.74,0.10526315789473684,0.14285714285714285,0.197,0,6,2011,1,5,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,6
0.74,0.10526315789473684,0.14285714285714285,0.197,0,2,2011,1,5,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
0.48,0.2631578947368421,0.22448979591836735,0.2273,0,2,2011,1,5,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
0.47,0.19298245614035087,0.20408163265306123,0.2273,0,3,2011,1,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3
0.47,0.2631578947368421,0.1836734693877551,0.197,0,33,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,33
0.43,0.22807017543859648,0.163265306122449,0.18180000000000002,1,87,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,88
0.4,0.3508771929824561,0.1836734693877551,0.18180000000000002,3,192,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,195
0.37,0.38596491228070173,0.20408163265306123,0.197,6,109,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,115
0.37,0.38596491228070173,0.20408163265306123,0.197,4,53,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,57
0.33,0.38596491228070173,0.24489795918367346,0.2273,12,34,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,46
0.33,0.38596491228070173,0.24489795918367346,0.2273,5,74,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,79
0.3,0.3508771929824561,0.2653061224489796,0.2576,6,65,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,71
0.28,0.22807017543859648,0.2857142857142857,0.2879,10,52,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,62
0.28,0.22807017543859648,0.2857142857142857,0.2879,7,55,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,62
0.28,0.10526315789473684,0.2857142857142857,0.31820000000000004,4,85,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,89
0.38,0.22807017543859648,0.22448979591836735,0.2273,4,186,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,190
0.38,0.15789473684210525,0.22448979591836735,0.2424,3,166,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,169
0.38,0.12280701754385964,0.22448979591836735,0.2576,5,127,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,132
0.47,0.19298245614035087,0.20408163265306123,0.2273,7,82,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,89
0.51,0.22807017543859648,0.1836734693877551,0.197,3,40,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,43
0.55,0.15789473684210525,0.163265306122449,0.197,1,41,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,42
0.47,0.0,0.1836734693877551,0.2576,1,18,2011,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,19
0.55,0.0,0.163265306122449,0.2424,0,11,2011,1,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,11
0.64,0.0,0.14285714285714285,0.2273,0,4,2011,1,6,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,4
0.64,0.0,0.14285714285714285,0.2273,0,2,2011,1,6,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2
